C30D39E7 C0FA3CF1
C2B3A3A6 C10ACA7D
42508769 C0CCE4F6
C29EBECF 40C0A7B5
C20C0CFA C1022D4B
C3639898 411720DC
4250670F C04BF419
C23E79F3 3FF26033
4192A631 400DDFEF
C1E972F5 BFD6B8AD
C32F4CFF C0E0745C
424A9695 BFEF36AF
43026F8F 40D02A57
C2596662 C09601AE
C2406A17 400A6BDE
C20B27B7 C03D0600
428AA363 C0F6183D
C3494A49 40E45FF0
C0CEFED7 3F4FD42E
C2C4BFE5 40AED652
C06BF022 BFC8721D
C2C21F93 40EC49ED
C331E013 C107E813
C13B3CBA C08382FB
C306D56F 412009B9
C34BAA05 C113ABDD
433DD7FC 40ED874B
42A142E8 C02D92F4
C3527BE6 40F1C8B8
C12CC3E1 C11A7A67
C38E6AA2 411BE745
C367FDD7 4111ED44
C17A6A92 BF5EBD52
41D52A8E BFA28006
C1306CDE BF93A7F8
428B3788 406C0069
4016ACAE 40351815
C313A84D 4113F3C8
42DE9C10 4127AB62
C2C88F47 40A98F69
42CEBEB9 4102EC7A
C11DC07F C038D13F
41C4EE5D C05DA320
430635EE C126091C
C2996F5B C02BAEB7
C2F7920B 4095A038
C207A0D9 40D44AA9
C342785E 411ED64B
41724FDC 4033A0F1
42AFEF2C C104BBC8
C3826A4A C11567DF
C2CBE840 408ECC26
C26CA834 410A8887
C2E10FEF C0CDBDA3
C1493FCB C049FBEA
435E6D3D 4111F0BF
418761E1 3FAF57D2
42E7A8B5 C0F77E94
418BD7BF C0EAA48F
C2BDA7C4 40A9C9A7
C2F892BF 40E8F715
C3283E84 C1079692
433F2FB4 40F2AD19
4317A6AE 40D5F4A5
C1102A10 C1137EB6
C2AC92DD 407679E0
C3072DB4 C10D2437
4344FB14 C0D56AA7
C2DEFAD8 40DAE1C0
C3048177 4101C3B4
C33F8CA9 40DA7062
C17C1331 C0EC1F99
C1A4E6F3 BF963572
C1C90747 BF751980
420006ED 40FFE37B
C0E25F05 3F38A2E4
C2C5A754 C0EAA78E
C281EAE8 C09860C6
C247FE60 C0EDFA73
C269D5D8 C0E1718F
C3090623 409A58DE
C2151334 C08F3AEF
C28425EE 41170E4D
429C8D8F C0E0888C
C266C0FA 4122E934
4350DF09 410358F5
3FF9933E 3FE7FE53
42F644E1 4107722B
42BF61CA C0EB6182
41A06ED2 BF922FFC
C2464B56 C066A1B4
42804E90 C08D9912
C340FA47 40EE64EA
C189D7C9 40A9C321
C1E8055E BFF664F0
40196346 40C3166C
C16A3C8A BFB07818
4191EDAB C08F03F4
424FB24F 41081808
43122B9A C0DBA85E
C18549AF BF8285F3
43388A84 40F48201
C20C3C34 BFA68C08
42C2F920 40A0BDEA
4020F3AF 3FA87C84
42762B26 C1137C41
C25CE46C 40148E33
C303380C 40C1B762
C348F5A8 C123F787
BF9F79CD BF9C69F9
43493D77 C112EC71
C231DF57 407D65FD
C3201DB9 4112B99C
C30D288D C0ABBBEC
C2699F88 40512B77
C3002DBB 40D7596C
C3519D20 40F51062
4261E784 C1236C58
C29BE201 403E3A57
C2926962 C082F466
429FECEC C1231B21
C2049E79 4103C176
C0D2FB5C 40371282
C2C13E08 C077AE9A
430E1FBF C0D57C85
4199DF97 BF5DE0FC
C3590420 410F1139
410D88F4 4023BD06
4323E112 C0B9F968
430D3315 C0A0B425
C08556B9 BF6A6D30
417BE215 3F0CA577
429D2794 40A1844A
BFF28FB0 BFF2C0EC
C24C88F3 C0212FAC
C2C1D68F 40E73B91
C33B76E7 40EDA3EB
42CBEFC6 40AF188F
41B44003 3F4DCA76
42531F41 402A0837
C1F87C7F BFC87067
C2FCD564 4124590E
43094EBC 40C571F8
C297C6E8 40714D1D
42DF4590 4107A672
BFCF8E36 40BE3C8C
42BB124B C08EC678
4201F11B C038073B
4303A571 C0D11A82
C2DF7D1A 4089880D
C0FA38ED 3F41A4C8
42CB046D C0C9A7B8
433AC82F 410A13E5
BF4DAC91 401D4C44
42A3D3F2 403BD424
C149F1A3 C08084EE
41F9A578 C0565193
4285089A 40673CA7
C18B4F10 409455F1
C212C6FD C0141EDC
C2408643 40C58A38
C30E2728 4108F574
C335BCFC C120397B
418FBDD6 4031F897
C3712898 410E60B8
428A99E2 C104E253
C1AA437F 40E59DB0
C202E5C6 40CBB6F7
40FDA1D3 402AB6A6
C2D8DA69 C0D24525
42C161B3 C0CE3B80
C2B64180 40EE723E
C35D8697 C0ED945F
43072273 C0F7C9D6
42121B9E BFADA47F
41EDEC0D C0310F63
C1E2DB8F BF968B49
C3368A52 C114D00A
C29A9D68 40751F08
4305D4B9 40C27D9E
4330847F C0C3EF5B
C2225A37 C02098FA
42A9BB65 C100FC74
428B86CE 411C5934
43917A8E C126CC20
42D6C444 40B6B4E1
C230DFF8 BFE37928
40FD7C94 3F5C9211
421B4F21 BFB02EC6
C271A84F 408F08BA
43117EC0 411B1A4C
4290DBB4 4025725D
C2E3B4FC C089CCA9
429B3E72 410667A6
423B4CEA C00F0E42
C32B2F2F C0DD1C6F
C30F1C54 C11BA423
42087EB1 400FE590
410F4F22 C0859C6C
432808BC C1221932
C25D3420 40678FF4
4235DB6D C0DD107E
407AE5B2 40014BC0
C2019019 3F8A731D
C296689B C125637D
4130FF74 C0621899
C327D4EA 40B303DC
42861254 40640098
C240FC32 3FE74F2D
42514768 C085AED8
4061F6E9 410316BA
40AECB44 BF3121DA
C2197E39 40BB4C9C
4377B569 C12423CA
C1D358F0 3FCC765B
C1AEB466 BFBD8BB3
42E273D6 C0FBF44B
42F0F92F C0A305E1
42A00D89 4105E790
C29A529A 4042FD3C
C2C4924D C0A3AC3C
42FE50A9 40DBBBFB
C231EF31 C0001BB0
401B1C75 3F6AAEC0
BF0FCD57 3F9B3568
42111B6A 40810A5B
C220EFCD C0E3A37C
43239751 C0E34BFF
421A0980 BFA92E04
C29BF532 C0D7E471
431B351C C0D4CDDC
41D676EE 3F6B6528
C33B018A 4124CB96
432A94F0 4109E217
4285C59A C11C7E4E
42B4F6D8 C09C9C0F
C1254D93 3FDB8592
42A51F00 4056FAF8
42949464 411B073B
C343D5F6 410EB843
4215A7CD 40118DEE
40966732 3F6E8656
C261CF40 C10AD87D
43001F3E 40FA7F1A
426D0988 405E6E56
431D6441 40DB9CFC
408E6720 BF17E392
4190F07D 3FBEF2AE
C305AD1C 40C1A08F
C2BF73F9 4081B91A
C1166F30 4101C22E
C2E0901D 41214AB1
42BBC171 C0639632
C2D9043F 409F8E2F
425C62CA 408D49C9
C29028E7 40D644C2
C2B97382 40CC3987
C2D57EE5 40C99845
43302A84 40E87841
C1538F8D C0AF711B
4332164C C1059561
41B1656C 409CDD1A
4114FC9D BFB16896
4393421B 4127BC50
C3226A43 40DB93A6
42CEB36D C10E5E4D
41CDB8A5 40161097
4194AF8A BF3DEE50
C2C58553 C05F2F33
4369FC6B C113A308
C294478A C0A29EAC
42E94930 C0F8F0CA
C21EC5A4 C1027B68
C31EBDDC 41003853
C112B7E2 3F8907B1
4291171F C1190030
C2E9E434 C09FEAB0
3FD3DDFA BF560D02
C290D2BD 40BA5FE7
C165FE00 BF37DE2E
4183A929 411DE440
4366A561 C0F9DCDA
C2294D09 C01EC851
C28B69A9 C0D2BA8D
41A8080C C03033ED
41A28662 40B77C2E
41C8D63D 3F969D92
C294D6E7 40A2A7FD
C33587F4 C10FFEFE
42E6CD48 C0E04FBE
C2EDB08B C109064B
C19E07A7 C020DF71
42FD05CF C101148A
C373B635 C114BBAC
4370BE12 C125992D
430CB26D C0A47542
C1F6500B 3FC7019F
C36FB5EC 41041910
C2A10E19 C057C4AF
42CB252C 4107AA90
422E7D93 40051752
C377847A 41112610
C13BFAC9 BFF41C5B
C2035E46 C0E15FA5
C20DDBE3 BFAAD583
43007DEC 4122BD82
420B1690 40DB1845
BF81EA07 4007D452
434E3F10 40F63173
C275707F C017F193
4290E8F1 40F34717
C25CB1B2 C0A2F701
C1A3B961 C076887D
412FDA82 3FC0D0E4
42E1CE69 C0A01CC0
42CBF381 4080C28E
C1D4CADB C0DAECED
C180F59E 40EB9FED
C28BC2C2 C0316519
C2E6623B C0EE20D0
40F5662A BF54F6FA
4354A1C4 41136489
42A983D6 40469566
41AE04D6 3FCE1107
C2895F5B C0BEED6C
C0CDC3D9 4097372B
42AAA188 40533952
C342F034 C100A248
C28F9173 C0F888E3
C2005A10 4113A400
412C7BFC 3FBB906A
427D9FAC C060CF4D
4143FC93 C0FDD263
43007685 40E5B28F
C1165530 3FA5149E
C33D9BD4 40CA7F89
41E3A80C 3F9175DA
C21D9A69 3FB82328
4320473F 4114A2FA
C240D605 406AD888
42FC9F67 4116CDC1
4307E7B7 40CD57D5
C18F8E80 BFC56862
C3354AA4 C12015C1
4173DD9F 40DAE9CD
40F5B0E5 C0A732A8
42CD21D6 C12371FB
426134FD C0D3731A
BE3B8531 BF0E1848
4181C7F8 BFCA45E1
42486A2A 40B40DBD
C1CC2026 3FAF7A8E
4312BF7F C0B25F30
C228B6D2 C126D9C7
426A9ADB C096FC2A
4276E08B 40D28798
3FA3DF58 410B6448
C0B99F22 4044DE5E
4198D818 3FD28B4F
41AD545B BFDAE979
C15FC448 3FA6A163
429FB082 40E92CA4
C33CAAB7 40DB8CFD
41E62220 40F7ABDF
C1CBE14B 40BADE9E
424A9BAD C05CD378
C1E95636 3FDD71B8
C332DC4E C0E0BBBC
C271CD32 40E7596C
C2EECAB3 C09EDAB0
42FBE585 411AA961
C298BC62 C086C672
41AD6A2F 4087DB5F
42C4F9A8 C1166A60
4305A5A9 C0DEA9C6
422D7DF3 C09314CD
41DC2011 4084AB84
C1FEF235 40EC3F6E
4321322B C0B1BEE2
41180FED BF4F3F30
42DF69B5 C100FE82
C23F3E34 BFD4A86A
C322973B C0D0F115
C2EE504C 4121C81C
41DF8579 C0BD401C
434BDD4F 4101E780
4192F6D2 C045F96E
42BA5615 C04CF562
C1D7AA55 40C9BFE8
C282FD0A C0AC7283
42E7666C 40D77D6A
C0B6DE24 408E71B0
C2A135F3 C031C284
4318D788 40BAAF09
C2275011 BFDFC549
C23577AE C11F0BF7
C30AB860 C0AAB0BD
C1A675B6 4056E6C7
C2A6EBB3 40B39BB0
42FE211E 4124EB16
433375E0 40C7877E
42EFFE26 C110A248
41EF5862 3F8FF21B
C33CB62F C0D88276
4320AF4E C0EC1230
C217CC46 405F9CF9
C29649CD 4026D9E7
C3355F1E C0E89533
4345F26E C0FC1E45
C33A22B9 41008C68
4325D178 410F58F1
417BC038 BFA36422
415ADE7B C07F3EC2
420CAE4D 3F9C90AA
C1997080 3FA2622A
4012B3CC 3F804A0F
41C0B3BE C034B9D9
42F85597 4091A203
42554087 C030A897
429F543E 40828021
C2963919 C0B0FCA3
41C87A2D 3F9BDF7F
C353512B C10B9B06
423439ED 3FF6E198
415C13FD C055EF78
C299C7E3 40FF9105
C101F018 BF77F0DE
BFF449B8 410E4B4E
C138FF3B C06A69B3
42A99F82 C10ED57B
43048EC7 409AD253
C1E6C805 BFB24A64
4310D799 C0DA77C2
43194ED1 C0F42CBC
4353ED00 41201FA6
432193D4 C1051782
431825DF C1211685
41E727DA C025AF58
42CDF28E C102CF92
424FB718 4027AD1B
C25935C3 C02A12F4
C212A98B 3FEED962
C2A61E9C 40DE58B0
C2A4043B 41166F35
41C9415B BFCEBC52
C0ED8250 BF259D76
41AE7F74 BFDF310A
42D09A3F C0B9E66A
431ED33D C12228EE
C33FE361 4103D6B0
3F88B781 3FE0B44B
415BB3FD 3FD9DD81
4300BACA C103B3E4
40957185 BF03771D
40E7E692 410F879C
42E5D894 4104DC35
41009929 BF9416E4
42E44C0F C0FF2EA5
C36AD5F4 C11ED5FD
41BFDF00 41220AFE
412A14A5 C01D554B
41E2A242 40C90E34
42B21AD5 408C3689
42AA9204 C11ACC38
C16E5C4D C0F27888
42B8429D C0D9E51D
C22A93DE C0B97DBA
412879E4 3FA19612
C29C1E38 40BEE79A
41FCBFA5 C09E92C6
C3766565 C124FDA5
C272DD58 4121B348
4360F837 40F3C055
C2AE6939 409BD6B4
C26F5DD1 C124FD0C
438F9C2F 411EFE04
421FDA1F 41012B6D
C265C427 C03E4C3D
C30F0000 40C4D3CA
40CC3E16 BF172374
C2391D3F 40DAFF13
C1B88EC2 C0F93C54
42D411D3 C0A9E286
42F7F9BA C08F4EC7
